00 KO KAI
01 KHO KHAI
02 KHO KHUAT
03 KHO KHWAI
04 KHO KHON
05 KHO RAKHANG
06 NGO NGU
07 CHO CHAN
08 CHO CHING
09 CHO CHANG
10 SO SO
11 CHO CHOE
12 YO YING
13 DO CHADA
14 TO PATAK
15 THO THAN
16 THO NANGMONTHO
17 THO PHUTHAO
18 NO NEN
19 DO DEK
20 TO TAO
21 THO THUNG
22 THO THAHAN
23 THO THONG
24 NO NU
25 BO BAIMAI
26 PO PLA
27 PHO PHUNG
28 FO FA
29 PHO PHAN
30 FO FAN
31 PHO SAMPHAO
32 MO MA
33 YO YAK
34 RO RUA
35 LO LING
36 WO WAEN
37 SO SALA
38 SO RUSI
39 SO SUA
40 HO HIP
41 LO CHULA
42 O ANG
43 NOKHUK
